"","Compound.Name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"1","Vitamin B3",0.0205697029864577,0.00153656607176646,0.0539269319958815,0.123418217918746,0.00921939643059874,0.323561591975289,0.0000667332617478696,0.000012438671139912,0.000180977807993417
"2","Valine",3.07677178210666,2.22468081616856,6.55071476191839,15.3838589105333,11.1234040808428,32.753573809592,0.00779781622454855,0.00168302438891216,0.024805055049123
"3","Uridine",0.00952025253188515,0.000228240411034928,0.0535007211695674,0.0856822727869663,0.00205416369931435,0.481506490526106,0.0000351962657327602,0.0000024585355979388,0.000199381164932867
"4","Uracil",0.0784393787240407,0.0340310551808739,2.04219950561405,0.313757514896163,0.136124220723495,8.16879802245621,0.000167217063557731,0.0000314614624900963,0.003433926830697
"5","UDP-glucosamine",0.00341946169919626,0.000979581743410486,0.0271024039591613,0.0581308488863364,0.0166528896379783,0.460740867305742,0.0000259090729447138,0.00000676432454991008,0.00024810271771666
"6","Tyrosine",0.0521480933157388,0.0105556070807819,0.171763708405387,0.469332839841649,0.0950004637270374,1.54587337564848,0.000260400877888522,0.0000646963496817046,0.000859115655436376
"7","Turicine",0.0174368691183545,0.00267989285674962,0.0520457259328037,0.122058083828482,0.0187592499972473,0.364320081529626,0.0000617035660054709,0.0000118338989351428,0.000153149643250713
"8","Trimethylammonium Propionate (TMAP)",8.39980643303105,3.56980162177708,27.1594555149153,50.3988385981863,21.4188097306625,162.956733089492,0.028787796515958,0.0052148316935597,0.0651501981432864
"9","Trimethylamine N-oxide",2.08740328905684,0.359806027599677,26.814402181452,6.26220986717052,1.07941808279903,80.4432065443559,0.00353921553612117,0.000543991933026162,0.0433175773666574
"10","Trimethyl-L-lysine",NA,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf
"11","Trigonelline",0.034922939746645,0.00869393415295426,0.190475546320765,0.244460578226515,0.0608575390706798,1.33332882424535,0.000133986369604635,0.0000341103892913782,0.000717979515990524
"12","trans Hydroxyl proline",0.0021875915585561,0.000127886779733714,0.0091602363155932,0.0109379577927805,0.000639433898668569,0.045801181577966,0.00000526326628451228,0.000000632398979734462,0.0000209589879178966
"13","Thymine",0.0458236225953964,0.00651437354954396,0.136865665048687,0.229118112976982,0.0325718677477198,0.684328325243437,0.000115630541510233,0.0000261152691385143,0.000301049000191209
"14","Thymidine",0.00176962467038869,0.000437690054772383,0.0363849983423751,0.0176962467038869,0.00437690054772383,0.363849983423751,0.0000075402693455367,0.00000154423793897054,0.000160064503672769
"15","Threonine",0.0124356381007094,0.0021615395719518,0.0850766280970922,0.0497425524028376,0.00864615828780719,0.340306512388369,0.00002807029176381,0.00000512541216999209,0.00017472359020341
"16","Taurine",0.467384489487599,0.0547249133215205,22.2315023244103,0.934768978975198,0.109449826643041,44.4630046488206,0.000438542844232604,0.000106196713794427,0.0177763355216853
